common.breadcrumb	Ruta de navegación
homepage.work.card4Tag	IPL de diseño de lujo
homepage.testimonials.authorName	Sarah Johnson
homepage.testimonials.authorRole	Gerente de Compras, Costco Canadá
homepage.footer.heading	¿Listo para comenzar tu proyecto de IPL?
homepage.footer.sub	Estaremos encantados de ayudarle a lanzar tu depiladora IPL de marca blanca al mercado.
homepage.footer.address	Shenzhen, China
homepage.footer.companyName	iShine Technology Ltd.
homepage.footer.companyIntro	Fundada en Shenzhen en 2021, ofrecemos fabricación de IPL en modalidad OEM/ODM para marcas de belleza de todo el mundo.
homepage.footer.fdaSupport	Soporte de documentación FDA 510(k)
blog.common.noImage	Sin imagen
blog.meta.title	Blog de IPL: últimas perspectivas y tendencias del sector | iShine
blog.meta.description	Descubre las últimas tendencias en tecnología IPL, información sobre fabricación e innovaciones del sector en nuestro completo blog para fabricantes de dispositivos de belleza.
blog.hero.kicker	Perspectivas y tendencias
blog.hero.title	Blog
blog.hero.description	Perspectivas del sector, tendencias de fabricación y asesoramiento experto para marcas de depiladoras IPL que evalúan tecnología, cumplimiento normativo y estrategia de mercado.
blog.hero.cards.focusLabel	Enfoque del contenido
blog.hero.cards.focusTitle	Tecnología + Fabricación
blog.hero.cards.focusDescription	Pensado para marcas de belleza, equipos de aprovisionamiento y operadores que investigan productos IPL y la capacidad de los proveedores.
blog.hero.cards.discoveryLabel	Descubrimiento
blog.hero.cards.discoveryDescription	Artículos publicados actualmente disponibles en este archivo del blog Astro.
blog.hero.cards.useCaseLabel	Caso de uso
blog.hero.cards.useCaseTitle	Investigue antes de consultar
blog.hero.cards.useCaseDescription	Utiliza este archivo para validar la experiencia antes de pasar a la revisión de productos, los servicios o el contacto.
blog.intro.kicker	Últimos artículos
blog.intro.title	Explora orientación práctica, información de mercado y experiencia en productos IPL
blog.intro.description	Descubre las últimas tendencias en tecnología IPL, las mejores prácticas de fabricación, las consideraciones de cumplimiento normativo y la información de mercado del equipo de iShine.
blog.intro.stats.archiveLabel	Archivo
blog.intro.stats.archiveHelp	Artículos de la biblioteca actual
blog.intro.stats.categoriesLabel	Categorías
blog.intro.stats.categoriesHelp	Temas dinámicos disponibles para filtrar
blog.intro.stats.modeLabel	Modo de lectura
blog.intro.stats.modeValue	Destacados + Cuadrícula
blog.intro.stats.modeHelp	Diseñado para una lectura rápida y otra más profunda
blog.search.label	Buscar artículos
blog.search.placeholder	Busque artículos por título, categoría, extracto o autor...
blog.search.clear	Borrar
blog.search.helper	Filtra y descubre por tema sin salir de la página
blog.filters.label	Filtrar por categoría
blog.filters.all	Todos
blog.filters.clear	Borrar filtros
blog.filters.reset	Restablecer filtros
blog.filters.emptyTitle	No se encontraron artículos
blog.filters.emptyDescription	Ajusta la búsqueda o los filtros para encontrar el contenido que buscas.
blog.featured.label	Artículo destacado
blog.featured.title	Comienza con la publicación más reciente
blog.featured.cta	Leer artículo destacado →
blog.grid.label	Últimos artículos
blog.grid.title	Más del archivo
blog.grid.cta	Leer artículo →
blog.loadMore	Cargar más artículos
blog.results.template	Mostrando {shown} de {total} artículos
blog.results.resultSingular	resultado
blog.results.resultPlural	resultados
blog.results.for	para
blog.results.in	en
blog.emptyArchive.kicker	Archivo del blog
blog.emptyArchive.title	Aún no hay artículos disponibles
blog.emptyArchive.description	Añade contenido MDX al directorio de origen del blog para completar el archivo, el área de artículos destacados, los filtros y la cuadrícula de resultados.
blog.post.authorLabel	Autor del artículo
blog.post.relatedTitle	Artículos relacionados
blog.post.relatedCta	Leer →
blog.post.backToBlog	Volver al blog
blog.post.tocTitle	En esta página
blog.post.ctaTitle	¿Necesitas una respuesta específica para tu proyecto?
blog.post.ctaHeading	Habla con nuestro equipo de fabricación
blog.post.ctaDescription	Ponte en contacto con el equipo para hablar de tu mercado, volumen, requisitos de cumplimiento y orientación del producto.
blog.post.ctaPrimary	Contacta con nuestro equipo
blog.post.ctaSecondary	Ver todos los productos IPL
blog.post.keepExploringTitle	Sigue explorando
blog.post.keepExploringDescription	Navegue por el archivo para encontrar publicaciones por categoría, palabra clave o tema.
blog.post.nextStepsTitle	Próximos pasos
blog.post.nextStepsItems[0]	Compare las opciones de OEM y ODM
blog.post.nextStepsItems[1]	Valide los requisitos de cumplimiento y pruebas
blog.post.nextStepsItems[2]	Solicite una revisión de producto o un plan de muestras
blog.post.continueReadingTitle	Seguir leyendo
blog.post.viewAllArticles	Ver todos los artículos
blog.post.citableEyebrow	Resumen citable
blog.post.citableQuestion	¿De qué trata este artículo?
blog.post.citableBody	Este artículo explica {title} para equipos que evalúan o desarrollan productos de depilación IPL de marca blanca. Aborda consideraciones prácticas para la ejecución en modalidad OEM/ODM, incluido cómo las decisiones de fabricación pueden influir en la experiencia del producto, la planificación del cumplimiento normativo y la preparación para el lanzamiento. El objetivo es ofrecer una visión completa y autónoma a la que los lectores puedan recurrir al comparar opciones, preparar RFQs o alinear a las partes interesadas internas en torno a los requisitos. Cuando resulta pertinente, el análisis conecta las decisiones a nivel de componente (como la refrigeración, los filtros, los cartuchos de lámpara, los sensores y el diseño de la fuente de alimentación) con la comodidad del usuario final y unos resultados de producción repetibles. La conclusión clave es un conjunto más claro de criterios de decisión que puede utilizar para reducir el riesgo y pasar del concepto a una fabricación escalable con menos iteraciones.
contact.title	Contacta con nuestro equipo
contact.subtitle	Ponte en contacto con nuestro equipo
contact.description	Cuéntenos sobre tu proyecto OEM/ODM, tu solicitud de muestras o tus requisitos de aprovisionamiento. Normalmente respondemos en un plazo de 24 a 48 horas con orientación sobre los siguientes pasos.
contact.form.title	Envíanos un mensaje
contact.form.name	Nombre
contact.form.email	Correo electrónico
contact.form.phone	Teléfono
contact.form.company	Empresa
contact.form.subject	Asunto
contact.form.message	Mensaje
contact.form.messagePlaceholder	Cuéntenos sobre tu proyecto...
contact.form.send	Enviar mensaje
contact.form.sending	Enviando...
contact.form.success	¡Mensaje enviado correctamente!
contact.form.error	No se pudo enviar el mensaje. Inténtelo de nuevo.
contact.info.title	Información de contacto
contact.info.phone	Teléfono
contact.info.email	Correo electrónico
contact.info.address	Dirección
contact.info.businessHours	Horario de atención
contact.info.mondayToFriday	Lunes - viernes: 9:00 a. m. - 6:00 p. m.
contact.info.saturday	Sábado: 9:00 a. m. - 1:00 p. m.
contact.info.sunday	Domingo: Cerrado
componentsCooling.header.title	Sistemas de refrigeración avanzados
componentsCooling.header.description	Tecnologías de refrigeración de última generación, incluida la refrigeración por zafiro y por semiconductor, para tratamientos IPL seguros y cómodos
componentsCooling.breadcrumb.components	Componentes
componentsCooling.breadcrumb.cooling	Sistema de refrigeración
componentsCooling.intro.title	Tecnología de Refrigeración Revolucionaria
componentsCooling.intro.paragraph	Nuestros avanzados sistemas de refrigeración representan la cúspide de la tecnología IPL en cuanto a comodidad y seguridad. Al integrar refrigeración de contacto de zafiro de última generación y una gestión inteligente de la temperatura, garantizamos que cada sesión de tratamiento no solo sea eficaz, sino también extraordinariamente cómoda para los usuarios.
componentsCooling.highlight.whyTitle	Por Qué es Importante una Refrigeración Avanzada
componentsCooling.highlight.paragraph	Una refrigeración eficaz es crucial para el rendimiento de la depiladora IPL, la comodidad del usuario y la seguridad del tratamiento. Nuestros sistemas mantienen una temperatura cutánea óptima al tiempo que maximizan la eficacia del tratamiento.
componentsCooling.highlight.items.comfort	Mayor comodidad del paciente durante los tratamientos
componentsCooling.highlight.items.safety	Menor riesgo de daños térmicos en la piel
componentsCooling.highlight.items.performance	Mejores resultados de tratamiento y mayor consistencia
componentsCooling.highlight.imageAlt	Tecnología de sistema de refrigeración avanzado
componentsCooling.tech.title	Tecnologías de Refrigeración
componentsCooling.tech.description	Descubre nuestra gama de soluciones de refrigeración avanzadas diseñadas para distintas aplicaciones y necesidades de los usuarios
componentsCooling.tech.items.plates.title	Placas de Refrigeración por Contacto
componentsCooling.tech.items.plates.description	Placas de refrigeración de alta eficiencia que mantienen una temperatura constante durante las sesiones de tratamiento
componentsCooling.tech.items.sapphire.title	Refrigeración por Contacto de Zafiro
componentsCooling.tech.items.sapphire.description	Refrigeración con cristal de zafiro premium para una comodidad máxima y una disipación de calor superior
componentsCooling.tech.items.semiconductor.title	Refrigeración por Semiconductores
componentsCooling.tech.items.semiconductor.description	Tecnología de refrigeración Peltier avanzada para un control preciso de la temperatura y eficiencia energética
componentsCooling.applications.title	Aplicaciones
componentsCooling.applications.description	Nuestros sistemas de refrigeración están diseñados para diversas aplicaciones IPL y escenarios de tratamiento
componentsCooling.applications.items.home.title	Dispositivos de Uso Doméstico
componentsCooling.applications.items.home.description	Soluciones de refrigeración compactas para depiladoras IPL personales con un manejo sencillo
componentsCooling.applications.items.multi.title	Sistemas Multifunción
componentsCooling.applications.items.multi.description	Refrigeración avanzada para plataformas IPL profesionales de múltiples aplicaciones
componentsCooling.applications.items.pro.title	Equipos Profesionales
componentsCooling.applications.items.pro.description	Sistemas de refrigeración de alto rendimiento para entornos clínicos y de salón de belleza
componentsCooling.applications.items.sensitive.title	Zonas Sensibles
componentsCooling.applications.items.sensitive.description	Refrigeración especializada para zonas de piel delicada y áreas de tratamiento sensibles
componentsCooling.compliance.title	Cumplimiento Normativo
componentsCooling.compliance.paragraph	Nuestros sistemas de refrigeración cumplen las normas internacionales y los requisitos reglamentarios para dispositivos médicos
componentsCooling.compliance.items.fda	Cumple la normativa FDA
componentsCooling.compliance.items.iec60601	Certificado IEC 60601
componentsCooling.compliance.items.mdr	Preparado para MDR
componentsCooling.compliance.items.ce	Marcado CE
componentsCooling.compliance.items.iso13485	Certificado ISO 13485
componentsCooling.visuals.title	Visualización del Sistema
componentsCooling.visuals.images.plate.alt	Primer plano de la placa de refrigeración
componentsCooling.visuals.images.plate.title	Placa de Refrigeración de Zafiro
componentsCooling.visuals.images.plate.caption	Transferencia térmica de alta eficiencia
componentsCooling.visuals.images.integration.alt	Diagrama de integración del sistema
componentsCooling.visuals.images.integration.title	Integración Perfecta
componentsCooling.visuals.images.integration.caption	Diseño de módulo compacto
componentsCooling.specs.title	Especificaciones Técnicas
componentsCooling.specs.description	Especificaciones detalladas de los componentes de nuestro sistema de refrigeración
componentsCooling.specs.table.parameter	Parámetro
componentsCooling.specs.table.value	Valor
componentsCooling.specs.table.notes	Notas
componentsCooling.specs.rows[0].parameter	Método de Refrigeración
componentsCooling.specs.rows[0].value	Contacto de zafiro + semiconductor
componentsCooling.specs.rows[0].description	Tecnología de refrigeración dual para un rendimiento óptimo
componentsCooling.specs.rows[1].parameter	Rango de Temperatura
componentsCooling.specs.rows[1].value	5°C - 25°C
componentsCooling.specs.rows[1].description	Temperatura de refrigeración ajustable para distintos tipos de piel
componentsCooling.specs.rows[2].parameter	Tiempo de Respuesta
