common.breadcrumb	Breadcrumb
componentsCooling.specs.rows[1].value	5°C - 25°C
componentsCooling.specs.rows[1].description	Adjustable cooling temperature for different skin types
componentsCooling.specs.rows[2].parameter	Response Time
componentsCooling.specs.rows[2].value	< 3 seconds
componentsCooling.specs.rows[2].description	Rapid cooling activation for immediate comfort
componentsCooling.specs.rows[3].parameter	Contact Area
componentsCooling.specs.rows[3].value	25mm x 35mm
componentsCooling.specs.rows[3].description	Large cooling surface for efficient heat dissipation
componentsCooling.specs.rows[4].parameter	Power Consumption
componentsCooling.specs.rows[4].value	15W - 45W
componentsCooling.specs.rows[4].description	Energy-efficient cooling system design
componentsCooling.specs.rows[5].parameter	Lifespan
componentsCooling.specs.rows[5].value	50,000+ hours
componentsCooling.specs.rows[5].description	Long-lasting cooling components
componentsCooling.specs.footnote	* Specifications can be customized according to device requirements and target markets.
componentsCooling.customization.title	Cooling System Customization
componentsCooling.customization.description	Tailor cooling solutions to meet your specific device requirements and market needs
componentsCooling.customization.blocks.plates.title	Custom Cooling Plates
componentsCooling.customization.blocks.plates.description	Design cooling plates with specific dimensions, materials, and thermal properties for your application
componentsCooling.customization.blocks.sapphire.title	Sapphire Crystal Options
componentsCooling.customization.blocks.sapphire.description	Choose from various sapphire crystal grades and configurations for optimal cooling performance
componentsCooling.customization.blocks.integration.title	System Integration
componentsCooling.customization.blocks.integration.description	Seamlessly integrate cooling systems with existing device architectures and control systems
componentsCooling.customization.blocks.temperature.title	Temperature Control
componentsCooling.customization.blocks.temperature.description	Implement precise temperature control algorithms and safety monitoring systems
componentsCooling.quality.title	Quality Assurance & Testing
componentsCooling.quality.paragraph	Every cooling system undergoes rigorous testing to ensure reliability, safety, and performance
componentsCooling.quality.intertek	Intertek Certified
componentsCooling.quality.intertekDesc	Independent testing and certification for quality assurance
componentsCooling.quality.blocks.stability.title	Thermal Stability Testing
componentsCooling.quality.blocks.stability.description	Comprehensive testing under various thermal conditions to ensure consistent performance
componentsCooling.quality.blocks.longterm.title	Long-term Reliability
componentsCooling.quality.blocks.longterm.description	Extended lifecycle testing to verify durability and performance over time
componentsCooling.quality.blocks.contact.title	Contact Quality Control
componentsCooling.quality.blocks.contact.description	Precision manufacturing and quality control for optimal skin contact
componentsCooling.quality.blocks.cycling.title	Temperature Cycling Tests
componentsCooling.quality.blocks.cycling.description	Repeated temperature cycling to validate performance under extreme conditions
componentsCooling.cta.title	Ready to Integrate Advanced Cooling?
componentsCooling.cta.description	Contact our team to discuss how our cooling systems can enhance your IPL device performance
componentsCooling.cta.button	Request Cooling System Quote
componentsCooling.citable.question	Why does cooling matter in a home-use IPL device?
componentsCooling.citable.paragraph	Cooling is a key design factor for home-use IPL devices because it improves skin-contact comfort and helps manage thermal load during repeated flashes. Premium configurations often use a sapphire ice plate or a semiconductor (TEC) cooling module to pull heat away from the treatment window, with some designs targeting skin-contact temperatures around ~10°C. Better thermal management can make higher-energy settings feel more tolerable and can reduce the risk of user discomfort when treating sensitive areas, which supports better session consistency. Cooling choices also affect industrial design, power consumption, assembly complexity, and cost, so the right system depends on brand positioning and target-market requirements. For OEM/ODM programs, iShine integrates the cooling approach with lamp, filter, temperature sensing, and safety interlocks so the final device maintains stable performance across production batches and supports verification and documentation for distribution.
products.customization.title	Customization Options
products.customization.titleAdvanced	Advanced Customization Options
products.customization.titleForBrands	Customization Options for Brands
products.customization.description	This device can be fully customized to match your brand, from design tweaks to packaging and compliance support.
products.customization.ctaExplore	Explore custom solutions
productsPage.breadcrumb.products	Products
productsPage.hero.title	Professional IPL Devices
productsPage.hero.description	Explore our complete range of customizable IPL hair removal devices. From premium sapphire cooling to smart app control, find the perfect solution for your brand.
productsPage.hero.cta	Request Samples
productsPage.keyFeatures.fda.title	FDA & CE Certified
productsPage.keyFeatures.fda.description	
productsPage.keyFeatures.technology.title	Advanced IPL Technology
productsPage.keyFeatures.technology.description	
productsPage.keyFeatures.customizable.title	Fully Customizable
productsPage.keyFeatures.customizable.description	
productsPage.keyFeatures.manufacturing.title	Professional Manufacturing
productsPage.keyFeatures.manufacturing.description	
productsPage.categories.title	Product Categories
productsPage.categories.description	Choose from our curated product lines designed for different market segments and user needs.
productsPage.categories.premium.name	Premium Series
productsPage.categories.premium.description	High-end devices with advanced features
productsPage.categories.smart.name	Smart Series
productsPage.categories.smart.description	App-connected devices with intelligent control
productsPage.categories.essential.name	Essential Series
productsPage.categories.essential.description	Core functionality at competitive pricing
productsPage.categories.count	{count} products available
productsPage.list.title	All Products
productsPage.list.countText	{count} IPL devices available for customization
productsPage.controls.filter	Filter
productsPage.cta.title	Ready to launch your IPL brand?
productsPage.cta.description	Talk to our experts about your requirements and get a tailored quote.
productsPage.cta.button	Contact Us
languageSwitcher.chooseLanguage	Choose your language
languageSwitcher.close	Close language picker
languageSwitcher.comingSoon	Soon
languageSwitcher.switchLanguage	Switch Language
languageSwitcher.locale_en	English
languageSwitcher.locale_ar	العربية
languageSwitcher.locale_tr	Türkçe
languageSwitcher.locale_de	Deutsch
componentsPage.breadcrumb.components	Components
componentsPage.header.title	IPL Components & Parts
componentsPage.header.description	High-quality components delivering performance, safety and reliability
componentsPage.intro.title	Component Quality Determines Device Performance
componentsPage.intro.paragraph	At iShine, we understand that the quality of each component determines the performance of the entire IPL device. From lamp cartridges to cooling systems, each part is carefully engineered and rigorously tested to meet international standards.
componentsPage.diagram.alt	IPL Device Component Diagram
componentsPage.overview.title	Core Components Overview
componentsPage.core.lamp.title	Lamp Cartridges
componentsPage.core.lamp.description	Light source, energy stability, lifespan
componentsPage.core.lamp.specs[0]	999,000 flashes
componentsPage.core.lamp.specs[1]	Xenon technology
componentsPage.core.lamp.specs[2]	High efficiency
componentsPage.core.lamp.specs[3]	Extended lifespan
componentsPage.core.lamp.paragraph	Lamp cartridges are the core of IPL devices, determining energy output quality and device lifespan. Our high-performance lamps use advanced xenon technology to provide stable light energy output and extended lifespan, ensuring consistency and effectiveness for each treatment.
componentsPage.core.lamp.imageAlt	IPL Lamp Cartridge
componentsPage.core.lamp.cta	Learn More About Lamp Cartridges
componentsPage.core.filter.title	Optical Filters
componentsPage.core.filter.description	Wavelength precision, skin safety
componentsPage.core.filter.specs[0]	UV protection
componentsPage.core.filter.specs[1]	Wavelength control
componentsPage.core.filter.specs[2]	High clarity
componentsPage.core.filter.specs[3]	Durability
componentsPage.core.filter.paragraph	Optical filters play a crucial role in filtering harmful wavelengths and ensuring safe treatments. Our precision filter technology can precisely control spectral output, protecting skin from UV damage while maximizing treatment effectiveness.
componentsPage.core.filter.imageAlt	IPL Optical Filter
componentsPage.core.filter.cta	Explore Optical Filters
componentsPage.core.cooling.title	Cooling System
componentsPage.core.cooling.description	Comfort, skin protection, device durability
componentsPage.core.cooling.specs[0]	Sapphire cooling
componentsPage.core.cooling.specs[1]	Semiconductor technology
componentsPage.core.cooling.specs[2]	Contact cooling
componentsPage.core.cooling.specs[3]	Temperature control
componentsPage.core.cooling.paragraph	Cooling systems are essential for user comfort and skin protection. Our advanced cooling technologies, including sapphire contact cooling and semiconductor refrigeration, reduce discomfort during treatment while protecting skin from thermal damage.
componentsPage.core.cooling.imageAlt	IPL Cooling System
componentsPage.core.cooling.cta	View Cooling System Solutions
componentsPage.core.power.title	Power Supply
componentsPage.core.power.description	Stable energy output, safety compliance
componentsPage.core.power.specs[0]	Global voltage
componentsPage.core.power.specs[1]	Safety certified
componentsPage.core.power.specs[2]	Energy efficient
componentsPage.core.power.specs[3]	Reliability
componentsPage.core.power.paragraph	Reliable power supply is the foundation of IPL device safety and performance. Our power systems comply with global standards, providing stable energy output and adapting to different countries and regions.
componentsPage.core.power.imageAlt	IPL Power Supply
